Price,Close,High,Low,Open,Volume
Ticker,VCSH,VCSH,VCSH,VCSH,VCSH
Date,,,,,
2009-12-29,51.968162536621094,51.97505725270475,51.175438479079276,51.961267820537444,52800
2009-12-30,51.975074768066406,51.981969486473545,51.92682225747485,51.92682225747485,19900
2009-12-31,51.9267692565918,52.064631929244925,51.82336962254002,51.885406247496775,19000
2010-01-04,52.064693450927734,52.064693450927734,51.940614795274165,52.002656752665985,61200
2010-01-05,52.1405029296875,52.1887554326292,52.06467681661791,52.08535570943173,77400
2010-01-06,52.29214096069336,52.2990356761358,52.11291517307862,52.23699375540775,20900
2010-01-07,52.25771713256836,52.31975910611626,52.14742788722861,52.31975910611626,154200
2010-01-08,52.299072265625,52.31285644702661,52.25081974202339,52.31285644702661,108900
2010-01-11,52.34731674194336,52.37489035963837,52.326637843454556,52.37489035963837,31800
2010-01-12,52.35419464111328,52.49206269914417,52.34730518255824,52.49206269914417,33500
2010-01-13,52.34731674194336,52.45071123438737,52.31974312424835,52.436927055104775,41400
2010-01-14,52.478267669677734,52.56788321262711,52.31972599375333,52.56788321262711,48900
2010-01-15,52.540313720703125,52.56099261404153,52.505845392386775,52.505845392386775,34100
2010-01-19,52.35419464111328,52.42313129969306,52.31973157095206,52.42313129969306,92800
2010-01-20,52.44379806518555,52.49894527564427,52.43690334909634,52.47826112737666,168600
2010-01-21,52.51274108886719,52.54720941782613,52.395557185012564,52.49206219514327,161800
2010-01-22,52.505863189697266,52.51275790952326,52.48518428934957,52.505863189697266,68600
2010-01-25,52.51274108886719,52.56788831155005,52.49206219514327,52.56788831155005,45800
2010-01-26,52.505863189697266,52.54722624952296,52.46450538900188,52.54722624952296,179400
2010-01-27,52.44379806518555,52.519624164784425,52.409329743866984,52.519624164784425,73600
2010-01-28,52.42311477661133,52.47825672331499,52.3886464581854,52.47825672331499,79600
2010-01-29,52.455543518066406,52.49006421059427,52.38649686508873,52.39339784284114,35800
2010-02-01,52.476287841796875,52.58676676585731,52.42795462950169,52.58676676585731,25800
2010-02-02,52.46250915527344,52.47631639433103,52.41417591667998,52.46941014083828,42000
2010-02-03,52.427955627441406,52.441762859249245,52.38652866409272,52.434861877307895,50100
2010-02-04,52.54534912109375,52.55225537274585,52.45558892132248,52.538442869441646,23700
2010-02-05,52.53841781616211,52.65580296656592,52.43485043039991,52.63508948941348,68800
2010-02-08,52.52460861206055,52.61436876565348,52.414134982094154,52.61436876565348,37900
2010-02-09,52.476287841796875,52.51771480435701,52.44176186104672,52.497001323076944,66800
2010-02-10,52.421024322509766,52.50388347752905,52.30364447050775,52.50388347752905,55500
2010-02-11,52.372684478759766,52.42101766273325,52.33816378616268,52.42101766273325,69500
2010-02-12,52.427955627441406,52.531528303738256,52.41414839563355,52.531528303738256,23600
2010-02-16,52.427955627441406,52.462481608848734,52.37271616435973,52.441762859249245,74700
2010-02-17,52.40725326538086,52.45558648885124,52.365821025316066,52.45558648885124,72900
2010-02-18,52.36579513549805,52.46936778256399,52.33818067967587,52.46936778256399,55100
2010-02-19,52.35891342163086,52.37962690508111,52.296767703354526,52.37962690508111,52600
2010-02-22,52.44866943359375,52.47628916530546,52.34509675665614,52.46938291539624,58000
2010-02-23,52.517730712890625,52.52463696471769,52.44177774657287,52.469397485954474,50300
2010-02-24,52.566036224365234,52.566036224365234,52.47627606964606,52.4831823178318,71900
2010-02-25,52.57294464111328,52.62818409303003,52.51770518919653,52.62818409303003,36800
2010-02-26,52.646995544433594,52.66774364667998,52.570915651710216,52.64007775144148,86800
2010-03-01,52.6677131652832,52.729957435998536,52.61929919581787,52.729957435998536,44400
2010-03-02,52.695396423339844,52.72997482623216,52.640064646637754,52.72997482623216,43100
2010-03-03,52.709228515625,52.709228515625,52.667732320056324,52.69539820934505,31000
2010-03-04,52.709228515625,52.72306409863378,52.68156262633627,52.72306409863378,30100
2010-03-05,52.68849563598633,52.70924373976339,52.64008163492973,52.70232594626091,38500
2010-03-08,52.653865814208984,52.68153168724995,52.64695330349304,52.667701389092336,27000
2010-03-09,52.695396423339844,52.695396423339844,52.633146855367826,52.640064646637754,18200
2010-03-10,52.695396423339844,52.723062311690896,52.674648326258726,52.723062311690896,31800
2010-03-11,52.68154525756836,52.688463046791995,52.64004907568071,52.688463046791995,48800
2010-03-12,52.71615219116211,52.71615219116211,52.57782272927852,52.660820406408675,48400
2010-03-15,52.68849563598633,52.6954134294888,52.59858542737561,52.61933353115267,53900
2010-03-16,52.729942321777344,52.8544361042507,52.64694998461204,52.8544361042507,47500
2010-03-17,52.79218673706055,52.80601703300646,52.73685499982708,52.77143865477922,55600
2010-03-18,52.799068450927734,52.80598623322826,52.77140787516929,52.79215594534903,60800
2010-03-19,52.76453399658203,52.77836429596901,52.73686812108186,52.76453399658203,84700
2010-03-22,52.799068450927734,52.799068450927734,52.75065452826773,52.77832038074799,34000
2010-03-23,52.78530502319336,52.85446710363679,52.771474717796075,52.85446710363679,84200
2010-03-24,52.702301025390625,52.75763279378545,52.674640417921076,52.75071500355413,55200
2010-03-25,52.6677131652832,52.702291556771634,52.60546361784096,52.6677131652832,50600
2010-03-26,52.702301025390625,52.723054396084585,52.640056743492345,52.723054396084585,95400
2010-03-29,52.73688507080078,52.76455095519281,52.66772299818465,52.76455095519281,69000
2010-03-30,52.7714729309082,52.799133540766164,52.66772717539173,52.72997146266462,82500
2010-03-31,52.83455276489258,52.855347465263335,52.79296336415107,52.82068610559143,46000
2010-04-01,52.82067108154297,52.84839910367748,52.77214836495244,52.82067108154297,47900
2010-04-05,52.68899917602539,52.799906038266634,52.640476432185636,52.799906038266634,208900
2010-04-06,52.68899917602539,52.70979388215922,52.64740447517529,52.69592721901504,56500
2010-04-07,52.792938232421875,52.792938232421875,52.68202616513551,52.723615546078676,84200
2010-04-08,52.78599166870117,52.827581039214785,52.76519698344436,52.827581039214785,72100
2010-04-09,52.86228942871094,52.87615080169505,52.716721213759584,52.779105325060804,295200
2010-04-12,52.86922073364258,52.94547151121542,52.82763132354181,52.94547151121542,57600
2010-04-13,52.91770935058594,52.92464267732578,52.84839194892376,52.92464267732578,52300
2010-04-14,52.890010833740234,52.95932826713581,52.862282802665774,52.95932826713581,76100
2010-04-15,53.00090789794922,53.00090789794922,52.89692912273531,52.93852380596899,40200
2010-04-16,53.118717193603516,53.118717193603516,52.993943793523975,53.028605127992726,30600
2010-04-19,53.0702018737793,53.084068524924724,52.95236178193243,53.084068524924724,226400
2010-04-20,53.02865219116211,53.05638022563044,52.98012945298798,53.00092415669378,286400
2010-04-21,53.035579681396484,53.05637438281227,52.95932891715111,52.95932891715111,48900
2010-04-22,53.049415588378906,53.09793829791793,53.00089287883988,53.049415588378906,187200
2010-04-23,52.99395751953125,53.028618862977666,52.95236813825835,52.99395751953125,143400
2010-04-26,53.007835388183594,53.028630083219966,52.966245998110864,53.028630083219966,38500
2010-04-27,53.08405685424805,53.11178486186497,53.000872831397274,53.03553416306261,30000
2010-04-28,53.042476654052734,53.07713799516422,52.98702591228375,53.0702046692263,42600
2010-04-29,53.08405685424805,53.090984889719756,53.000872831397274,53.00780615544568,46600
2010-04-30,53.13407516479492,53.16879636222207,53.10630456410632,53.14796576285015,54600
2010-05-03,53.05072021484375,53.259031378452,53.00211374689772,53.259031378452,53300
2010-05-04,53.1479606628418,53.16879126021484,53.064632975639206,53.064632975639206,35500
2010-05-05,53.168800354003906,53.25906805729627,52.9952049492569,53.19657625448878,45600
2010-05-06,53.16183853149414,53.25905150412129,53.05074026179584,53.14100793703257,291600
2010-05-07,53.01605987548828,53.168824749392385,53.00911457275252,53.154939441634625,159600
2010-05-10,53.029930114746094,53.13408312721356,53.00909421454088,53.12019782478847,31500
2010-05-11,53.203556060791016,53.21049606712989,53.036900549792335,53.17578014229123,37300
2010-05-12,53.189640045166016,53.25213715636572,53.071596421214856,53.134088234702325,113800
2010-05-13,53.1479606628418,53.19656715594903,53.127130065468755,53.127130065468755,80900
2010-05-14,53.168800354003906,53.21740685542461,53.10630855119642,53.18963095493973,32800
2010-05-17,53.217411041259766,53.259072246408294,53.13408333325095,53.259072246408294,78600
2010-05-18,53.29381561279297,53.30076091577669,53.17577195063944,53.27993030453948,42800
2010-05-19,53.19656753540039,53.26600462637597,53.15490634035714,53.22434343133271,59700
2010-05-20,53.099361419677734,53.259066219816695,53.00908842178853,53.259066219816695,78800
2010-05-21,53.09242248535156,53.21046609920786,53.06464658249506,53.099367785493634,69200
2010-05-24,53.16183853149414,53.203505018126975,53.147953234422985,53.203505018126975,40300
2010-05-25,53.00907516479492,53.14100933012314,52.99518986735976,53.14100933012314,60100
2010-05-26,53.029930114746094,53.05770601730799,52.960487709485484,52.981323609690705,34600
2010-05-27,52.814659118652344,53.02297570321361,52.772997920824416,52.988254506549794,273300
2010-05-28,53.06444549560547,53.06444549560547,52.876566835780764,53.02269173297418,42100
2010-06-01,52.96704864501953,53.12708798355273,52.8417979280417,53.12708798355273,91400
2010-06-02,52.88356018066406,53.057519260205716,52.86268594052863,53.057519260205716,42300
2010-06-03,52.813961029052734,52.994879901441216,52.80700118158945,52.80700118158945,38500
2010-06-04,53.085357666015625,53.08535766601563,52.7791879623105,52.97402129782822,24000
2010-06-07,53.09232711791992,53.2175779003771,53.02969907228573,53.2175779003771,34700
2010-06-08,53.12710952758789,53.13406937824468,52.95315042284215,52.95315042284215,31800
2010-06-09,53.09232711791992,53.09232711791992,53.02273922081278,53.02969907228573,32700
2010-06-10,52.9879264831543,53.022715107075456,52.82788182492885,52.82788182492885,333600
2010-06-11,53.02273178100586,53.06448557517376,52.93227495979456,52.9461893519769,93800
2010-06-14,52.9879264831543,53.001840870961004,52.91138407819545,52.960092398732094,44900
2010-06-15,52.94617462158203,53.02271702931578,52.89746629927955,53.02271702931578,88900
2010-06-16,53.00882339477539,53.01578324606034,52.960115053402845,52.99490900101654,66100
2010-06-17,53.099246978759766,53.13404090458765,53.00183035701096,53.07837274678612,41400
2010-06-18,53.120147705078125,53.134067405874994,52.994902250768526,52.994902250768526,74600
2010-06-21,53.1757926940918,53.1757926940918,52.99487913313428,52.99487913313428,59800
2010-06-22,53.231502532958984,53.23150253295899,53.057543374354545,53.057543374354545,70800
2010-06-23,53.33582305908203,53.33582305908203,53.161864083226455,53.23144661180736,61000
2010-06-24,53.31499481201172,53.31499481201172,53.25932661761424,53.301075109006746,50200
2010-06-25,53.37759017944336,53.37759017944335,53.245379612743854,53.259299308611425,70700
2010-06-28,53.4262580871582,53.426258087158196,53.328841525002446,53.37058996341077,60600
2010-06-29,53.461090087890625,53.461090087890625,53.370627995136964,53.41933631092422,78200
2010-06-30,53.44158172607422,53.47643476967611,53.357924847878856,53.4346089898981,49800
2010-07-01,53.44158172607422,53.46249461596322,53.302153595748614,53.427636253721985,44800
2010-07-02,53.448543548583984,53.469456436283814,53.38580488548449,53.406717773184326,36000
